City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Joao Da Barra,BR,76.08,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
6,Kapaa,US,75.2,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
9,Rikitea,PF,78.1,clear sky,-23.1203,-134.9692,Pension Maro'i
12,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
14,Kralendijk,BQ,77.0,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
19,Port Lincoln,AU,70.83,clear sky,-34.7333,135.8667,Port Lincoln Hotel
20,Bengkulu,ID,85.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Avarua,CK,78.8,scattered clouds,-21.2078,-159.775,Paradise Inn
25,Hermanus,ZA,70.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Puerto Ayora,EC,75.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
30,Airai,TL,75.0,moderate rain,-8.9266,125.4092,Juvinal Martin
35,Dzaoudzi,YT,82.4,clear sky,-12.7887,45.2699,Le Rocher
37,Cape Town,ZA,71.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
41,Garchitorena,PH,77.58,light rain,13.8804,123.6946,Site
43,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Thinadhoo,MV,81.84,scattered clouds,0.5333,72.9333,
45,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
50,Namatanai,PG,85.19,few clouds,-3.6667,152.4333,Namatanai Hotel
53,Atuona,PF,77.99,broken clouds,-9.8,-139.0333,Villa Enata
55,Mataura,NZ,79.79,scattered clouds,-46.1927,168.8643,Ellie's Villa
61,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
62,Hobart,AU,84.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
63,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
68,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
69,Payo,ID,80.04,moderate rain,-3.7508,103.6372,Mess keban agung
73,La Libertad,EC,75.2,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
76,Sao Filipe,CV,70.84,few clouds,14.8961,-24.4956,Tortuga B&B
82,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
83,Bombo,ID,89.22,few clouds,-8.6131,119.0131,Losmen Mustika
84,Samarai,PG,87.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
87,Acarau,BR,77.23,broken clouds,-2.8856,-40.12,castelo pizzaria
88,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
96,Abakaliki,NG,74.05,clear sky,6.3163,8.1169,K Suites
99,Capellania,PA,74.75,overcast clouds,8.3,-80.55,Calle la cruz
102,Salinopolis,BR,78.58,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
106,Busselton,AU,75.99,clear sky,-33.65,115.3333,Observatory Guest House
108,Arraial Do Cabo,BR,75.79,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
109,Sibolga,ID,80.53,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
110,Caucaia,BR,80.01,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
111,Mandera,KE,73.81,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
115,Moerai,PF,80.26,clear sky,-22.4333,-151.3333,Le Manotel
118,New Norfolk,AU,84.0,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
125,Lotofaga,WS,86.0,light rain,-13.9764,-171.8578,Sataoa Beach Fales
127,Dingle,PH,78.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
128,Hobyo,SO,75.0,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
129,Kawalu,ID,88.86,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
131,Padang,ID,84.2,scattered clouds,-0.9492,100.3543,Mercure Padang
132,Okato,NZ,72.0,few clouds,-39.2,173.8833,Goodin Country Garden
133,Mariel,CU,73.4,light rain,22.9875,-82.7536,Casa de Alojamiento Marilda y Jesus
134,San Ignacio,BZ,70.0,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
136,Acapulco,MX,80.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Waipawa,NZ,75.2,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
143,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
145,Morant Bay,JM,77.0,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
147,Moron,AR,70.0,clear sky,-34.6534,-58.6198,Hotel Morón
148,Cockburn Town,TC,77.59,light rain,21.4612,-71.1419,Osprey Beach Hotel
149,Vao,NC,78.24,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
151,Libreville,GA,75.2,light rain,0.3925,9.4537,Hotel Re-Ndama
153,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
157,Sibu,MY,82.4,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
162,Tura,IN,70.41,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
166,Kaeo,NZ,72.0,broken clouds,-35.1,173.7833,Bushido Lodge
169,Loikaw,MM,70.05,scattered clouds,19.6742,97.2094,Myat Nan Taw Hotel
171,Yarada,IN,77.0,fog,17.65,83.2667,"D-26/2, Dolphin Hill,"
172,Salalah,OM,71.6,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL
174,Haflong,IN,70.77,few clouds,25.1833,93.0333,Changsan Inn
179,Faanui,PF,81.18,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,San Rafael,AR,71.11,clear sky,-34.6177,-68.3301,Hotel San Rafael
186,Bubaque,GW,78.53,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
190,Quelimane,MZ,78.6,light rain,-17.8786,36.8883,Hotel Flamingo
194,Mocuba,MZ,75.0,light rain,-16.8392,36.9856,Phama Lodge
195,Hervey Bay,AU,80.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
198,Akyab,MM,74.59,few clouds,20.15,92.9,Hotel Memory
199,Sola,VU,89.6,light rain,-13.8833,167.55,Leumerus Bungalows
200,Mogadishu,SO,75.7,clear sky,2.0371,45.3438,Hotel Juba
201,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
205,Ahipara,NZ,72.05,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
207,Kudahuvadhoo,MV,82.17,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
208,Port Blair,IN,84.2,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
211,Matara,LK,76.17,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
214,Vanimo,PG,86.07,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
220,Codrington,AU,70.61,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
