City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,2021-01-13 04:24:26,62.456,-114.3525,8.6,85,75,8.05,light snow
1,Sao Joao Da Barra,BR,2021-01-13 04:22:33,-21.6403,-41.0511,76.08,86,94,14.38,overcast clouds
2,Moses Lake,US,2021-01-13 04:24:27,47.1301,-119.2781,42.8,87,90,16.46,overcast clouds
3,Cedar City,US,2021-01-13 04:24:27,37.6775,-113.0619,26.6,54,1,4.61,clear sky
4,Carbonia,IT,2021-01-13 04:24:27,39.1672,8.5222,53.6,87,75,20.71,broken clouds
5,Upernavik,GL,2021-01-13 04:24:28,72.7868,-56.1549,14.38,95,100,13.96,overcast clouds
6,Kapaa,US,2021-01-13 04:24:28,22.0752,-159.319,75.2,73,1,6.91,clear sky
7,Gimli,CA,2021-01-13 04:24:28,50.6336,-96.9907,26.6,68,3,4.61,clear sky
8,Orotukan,RU,2021-01-13 04:24:28,62.2667,151.7,-26.57,83,64,1.79,broken clouds
9,Rikitea,PF,2021-01-13 04:24:29,-23.1203,-134.9692,78.1,77,2,17.58,clear sky
10,Khatanga,RU,2021-01-13 04:24:29,71.9667,102.5,-20.88,87,100,6.89,overcast clouds
11,Rio Grande,BR,2021-01-13 04:24:29,-32.035,-52.0986,62.01,93,78,12.1,broken clouds
12,Souillac,MU,2021-01-13 04:24:29,-20.5167,57.5167,78.8,83,75,11.5,broken clouds
13,Aklavik,CA,2021-01-13 04:24:30,68.2191,-135.0107,-2.2,78,100,3.44,overcast clouds
14,Kralendijk,BQ,2021-01-13 04:24:30,12.15,-68.2667,77.0,88,20,10.36,few clouds
15,Qaanaaq,GL,2021-01-13 04:24:30,77.484,-69.3632,6.71,90,100,3.53,overcast clouds
16,Gvardeysk,RU,2021-01-13 04:24:31,54.6477,21.0651,35.01,86,90,6.71,overcast clouds
17,Punta Arenas,CL,2021-01-13 04:24:31,-53.15,-70.9167,46.4,66,75,9.22,broken clouds
18,Urubamba,PE,2021-01-13 04:24:31,-13.3047,-72.1158,55.53,64,100,4.16,light rain
19,Port Lincoln,AU,2021-01-13 04:24:31,-34.7333,135.8667,70.83,56,7,19.15,clear sky
20,Bengkulu,ID,2021-01-13 04:24:31,-3.8004,102.2655,85.95,59,90,1.25,overcast clouds
21,Araouane,ML,2021-01-13 04:24:32,18.9048,-3.5265,62.47,29,99,12.84,overcast clouds
22,Avarua,CK,2021-01-13 04:24:32,-21.2078,-159.775,78.8,78,40,13.8,scattered clouds
23,Albany,US,2021-01-13 04:24:32,42.6001,-73.9662,32.0,70,92,3.2,overcast clouds
24,Esperance,AU,2021-01-13 04:24:32,-33.8667,121.9,68.0,52,83,20.71,broken clouds
25,Hermanus,ZA,2021-01-13 04:24:33,-34.4187,19.2345,70.0,89,70,5.99,broken clouds
26,Bredasdorp,ZA,2021-01-13 04:24:33,-34.5322,20.0403,68.0,88,99,9.22,overcast clouds
27,Puerto Ayora,EC,2021-01-13 04:24:33,-0.7393,-90.3518,75.0,93,91,8.95,overcast clouds
28,East London,ZA,2021-01-13 04:24:34,-33.0153,27.9116,69.8,100,90,2.3,light intensity drizzle
